slice,value,n,accuracy,macro_f1,model_name,seed,split_name,calibrated
has_negation,False,9548,0.7422496857980729,0.7408713451586136,compact,17,snli_test,True
has_negation,True,276,0.7608695652173914,0.6793582748930621,compact,17,snli_test,True
lexical_overlap_bucket,low,3573,0.7534284914637559,0.7447305930877016,compact,17,snli_test,True
lexical_overlap_bucket,mid,3264,0.7340686274509803,0.7348530880598952,compact,17,snli_test,True
lexical_overlap_bucket,high,2987,0.7395379979912956,0.6855759124729374,compact,17,snli_test,True
premise_len_bucket,short,3422,0.7577440093512565,0.7557353393344557,compact,17,snli_test,True
premise_len_bucket,mid,3427,0.752553253574555,0.7506380644386627,compact,17,snli_test,True
premise_len_bucket,long,2975,0.7142857142857143,0.7139158629720591,compact,17,snli_test,True
hypothesis_len_bucket,short,4324,0.7722016651248844,0.7512224205125516,compact,17,snli_test,True
hypothesis_len_bucket,mid,2683,0.7379798732761834,0.7347995872634608,compact,17,snli_test,True
hypothesis_len_bucket,long,2817,0.7021654242101526,0.6938485207492526,compact,17,snli_test,True
has_negation,False,6537,0.41639895976747743,0.40032494387333095,compact,17,mnli_matched,True
has_negation,True,3278,0.4429530201342282,0.39405041069552577,compact,17,mnli_matched,True
lexical_overlap_bucket,low,3312,0.4993961352657005,0.4676198921933608,compact,17,mnli_matched,True
lexical_overlap_bucket,mid,3232,0.4279084158415842,0.4177808921104171,compact,17,mnli_matched,True
lexical_overlap_bucket,high,3271,0.34760012228676246,0.34882846608553625,compact,17,mnli_matched,True
premise_len_bucket,short,3568,0.4789798206278027,0.4791677952027292,compact,17,mnli_matched,True
premise_len_bucket,mid,3115,0.43788121990369183,0.4289476884928051,compact,17,mnli_matched,True
premise_len_bucket,long,3132,0.35153256704980845,0.31149398663725075,compact,17,mnli_matched,True
hypothesis_len_bucket,short,3998,0.45372686343171587,0.45192467617485166,compact,17,mnli_matched,True
hypothesis_len_bucket,mid,2909,0.42282571330354074,0.40751538479957256,compact,17,mnli_matched,True
hypothesis_len_bucket,long,2908,0.3885832187070151,0.3511469002941527,compact,17,mnli_matched,True
has_negation,False,6615,0.4069538926681784,0.3868018856994581,compact,17,mnli_mismatched,True
has_negation,True,3217,0.47031395710289087,0.39695408629524137,compact,17,mnli_mismatched,True
lexical_overlap_bucket,low,3310,0.49154078549848945,0.4551620013475289,compact,17,mnli_mismatched,True
lexical_overlap_bucket,mid,3447,0.4470554105018857,0.4340536594259345,compact,17,mnli_mismatched,True
lexical_overlap_bucket,high,3075,0.33723577235772356,0.3414423704866096,compact,17,mnli_mismatched,True
premise_len_bucket,short,3555,0.48579465541490857,0.4857211901782079,compact,17,mnli_mismatched,True
premise_len_bucket,mid,3029,0.4272036975899637,0.41648385736882737,compact,17,mnli_mismatched,True
premise_len_bucket,long,3248,0.3645320197044335,0.3344647490275199,compact,17,mnli_mismatched,True
hypothesis_len_bucket,short,4208,0.45175855513307983,0.4491073670635665,compact,17,mnli_mismatched,True
hypothesis_len_bucket,mid,2754,0.4382716049382716,0.4191930532887975,compact,17,mnli_mismatched,True
hypothesis_len_bucket,long,2870,0.3822299651567944,0.3518353702966824,compact,17,mnli_mismatched,True
heuristic,constituent,10000,0.4923,0.4922579538811609,compact,17,hans,True
heuristic,lexical_overlap,10000,0.4841,0.4823162221836159,compact,17,hans,True
heuristic,subsequence,10000,0.5073,0.504594486455375,compact,17,hans,True
subcase,ce_adverb,1000,0.618,0.3819530284301607,compact,17,hans,True
subcase,ce_after_since_clause,1000,0.447,0.308914996544575,compact,17,hans,True
subcase,ce_conjunction,1000,0.483,0.3256911665542819,compact,17,hans,True
subcase,ce_embedded_under_since,1000,0.448,0.30939226519337015,compact,17,hans,True
subcase,ce_embedded_under_verb,1000,0.511,0.3381866313699537,compact,17,hans,True
subcase,cn_adverb,1000,0.344,0.25595238095238093,compact,17,hans,True
subcase,cn_after_if_clause,1000,0.472,0.32065217391304346,compact,17,hans,True
subcase,cn_disjunction,1000,0.536,0.3489583333333333,compact,17,hans,True
subcase,cn_embedded_under_if,1000,0.62,0.38271604938271603,compact,17,hans,True
subcase,cn_embedded_under_verb,1000,0.444,0.3074792243767313,compact,17,hans,True
subcase,le_around_prepositional_phrase,1000,0.394,0.28263988522238165,compact,17,hans,True
subcase,le_around_relative_clause,1000,0.43,0.3006993006993007,compact,17,hans,True
subcase,le_conjunction,1000,0.468,0.3188010899182561,compact,17,hans,True
subcase,le_passive,1000,0.459,0.3145990404386566,compact,17,hans,True
subcase,le_relative_clause,1000,0.376,0.27325581395348836,compact,17,hans,True
subcase,ln_conjunction,1000,0.603,0.37616968184653776,compact,17,hans,True
subcase,ln_passive,1000,0.523,0.3434011818778726,compact,17,hans,True
subcase,ln_preposition,1000,0.64,0.3902439024390244,compact,17,hans,True
subcase,ln_relative_clause,1000,0.596,0.37343358395989973,compact,17,hans,True
subcase,ln_subject/object_swap,1000,0.352,0.2603550295857988,compact,17,hans,True
subcase,se_PP_on_obj,1000,0.362,0.2657856093979442,compact,17,hans,True
subcase,se_adjective,1000,0.815,0.4490358126721763,compact,17,hans,True
subcase,se_conjunction,1000,0.523,0.3434011818778726,compact,17,hans,True
subcase,se_relative_clause_on_obj,1000,0.379,0.27483683828861494,compact,17,hans,True
subcase,se_understood_object,1000,0.827,0.4526546250684182,compact,17,hans,True
subcase,sn_NP/S,1000,0.552,0.3556701030927835,compact,17,hans,True
subcase,sn_NP/Z,1000,0.51,0.33774834437086093,compact,17,hans,True
